Video,Our Video? ,New Vid for V3?,None (1-0),Ear (1-0),Tail (1-0),Teats (1-0),Other (1-0),Focal individual,Notes:
01.mp4,Y,N,0.0,0,0.0,0.0,1.0,Standing heifer,
02.mp4,N,Y,0.0,0,0.0,1.0,0.0,Right heifer in the foreground,
03.mp4,Y,N,0.0,0,0.0,1.0,0.0,Right heifer,
04.mp4,Y,N,1.0,0,0.0,0.0,0.0,Left heifer,
05.MOV,Y,N,1.0,0,0.0,0.0,0.0,Left heifer,
06.mp4,Y,Y,0.0,0,1.0,0.0,0.0,Green collared heifer,
07.mp4,N,N,1.0,0,0.0,0.0,0.0,Right heifer,
08.mp4,Y,N,1.0,0,0.0,0.0,0.0,Standing heifer,
09.mp4,Y,N,0.0,0,0.0,1.0,1.0,Brown heifer,
10.mp4,N,N,0.0,0,0.0,0.0,1.0,Left heifer,
11.mp4,Y,N,0.0,0,1.0,0.0,1.0,Foreground heifer,
12.mp4,Y,Y,0.0,0,0.0,1.0,1.0,Left foreground heifer,
13.mp4,Y,Y,0.0,0,1.0,0.0,0.0,Left most heifer,
14.mp4,Y,N,1.0,0,0.0,0.0,0.0,Foreground heifer,
15.mp4,Y,N,0.0,0,0.0,1.0,0.0,Left heifer,
16.mp4,N,Y,0.0,0,0.0,1.0,0.0,White heifer,
17.mp4,Y,N,0.0,1,0.0,0.0,0.0,Second heifer from left,
18.mp4,N,N,0.0,0,1.0,0.0,1.0,Left heifer,
19.mp4,N,N,1.0,0,0.0,0.0,0.0,Centered heifer,
20.mp4,N,Y,0.0,0,0.0,1.0,0.0,Background heifer,"I'd be inclined to drop - it does show intersucking, but in a way that wouldn't be possible with our heifers (teats too small that they wouldn't be able to see this same expression in our groups); 16 is similar, but most of that video is focused on the head orientation instead"
21.MOV,Y,N,0.0,1,0.0,0.0,0.0,Yellow collared heifer,
22.mp4,N,N,0.0,0,0.0,0.0,1.0,Left heifer,
23.mp4,N,Y,0.0,z,0.0,0.0,0.0,Right heifer ,
24.mp4,N,Y,0.0,1,0.0,0.0,0.0,Bottom right corner heifer,
25.mp4,Y,N,0.0,0,0.0,0.0,1.0,Right heifer,
26.mp4,Y,N,0.0,1,0.0,0.0,0.0,Standing heifer,
27.mp4,Y,N,1.0,0,0.0,0.0,0.0,Sitting heifer,
28.mp4,N,N,0.0,1,0.0,0.0,0.0,Black heifer,
29.mp4,Y,N,0.0,0,0.0,1.0,0.0,Left heifer,
30.mp4,Y,N,0.0,0,0.0,1.0,0.0,Brown heifer,
31.mp4,Y,N,0.0,0,1.0,0.0,1.0,Right heifer,
32.mp4,N,N,1.0,0,0.0,0.0,0.0,Left heifer,
33.mp4,Y,N,1.0,0,0.0,0.0,0.0,Centered standing heifer,
34.mp4,Y,N,0.0,0,0.0,0.0,1.0,Left heifer,
35.mp4,Y,N,0.0,0,0.0,0.0,1.0,Brown heifer,
36.mp4,Y,N,1.0,0,0.0,0.0,0.0,Right heifer,
37.mp4,N,Y,1.0,0,0.0,0.0,0.0,Top right corner heifer,
38.mp4,Y,N,0.0,1,0.0,0.0,0.0,Top heifer,
39.mp4,N,Y,0.0,0,1.0,0.0,0.0,Right heifer ,
40.mp4,Y,Y,0.0,1,0.0,0.0,0.0,Centered standing heifer,
41.mp4,Y,N,1.0,0,0.0,0.0,0.0,Right heifer,
42.mp4,Y,N,1.0,0,0.0,0.0,0.0,Top heifer,
43.mp4,Y,N,0.0,0,0.0,1.0,0.0,Right heifer,
44.mp4,Y,N,0.0,1,0.0,0.0,0.0,Standing heifer,
45.mp4,Y,Y,0.0,1,0.0,0.0,0.0,Standing heifer,
46.mp4,Y,Y,0.0,1,0.0,0.0,0.0,Standing heifer,
47.mp4,N,N,1.0,0,0.0,0.0,0.0,Left heifer,
48.mp4,Y,Y,0.0,0,1.0,0.0,0.0,Foreground heifer,
49.mp4,Y,Y,0.0,1,0.0,0.0,0.0,Brown collar-less heifer,
50.mp4,Y,N,0.0,0,0.0,0.0,1.0,Sitting heifer,
51.mp4,Y,N,1.0,0,0.0,0.0,0.0,Yellow collared heifer,
52.mp4,N,N,0.0,0,1.0,0.0,1.0,Left heifer,
53.mp4,Y,N,0.0,0,0.0,0.0,1.0,Brown heifer,
54.mp4,Y,N,0.0,0,0.0,0.0,1.0,Standing heifer,
55.mp4,Y,N,0.0,1,0.0,0.0,0.0,Foreground heifer,
56.mp4,Y,N,0.0,0,1.0,0.0,0.0,Right foreground heifer,
57.mp4,Y,Y,1.0,0,0.0,0.0,0.0,Yellow collared heifer,
58.mp4,Y,Y,0.0,0,1.0,0.0,0.0,Green collared heifer,
59.mp4,Y,N,0.0,0,0.0,0.0,1.0,Blue collared heifer,
,,,,,,,,,
,,,16.0,12,10.0,10.0,16.0,,
